what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1417010883598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417010884710
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417010885851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417010885950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417010887326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417010887390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417010891308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417010891346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417010892437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417010892461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417010894503
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417010896199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417010897312
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1417010897355
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1417010905980
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1417010914721
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1417010917234
opened,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1417010928947
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1417010929052
activated,perspective,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.CPerspective",1417010929092
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1417010930736
activated,perspective,org.python.pydev,2.8.2.2013090511,"org.python.pydev.ui.PythonPerspective",1417010932078
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417010938992
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417010948165
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1417010966093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1417010967426
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417010968109
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1417010971463
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1417010985517
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417010988543
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417010994779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417010996554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417010996606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417010997870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417010997907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417010999550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417010999614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417011000566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417011000632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417011003418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417011003456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417011012020
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417011015560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417011021240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417011021310
