what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1510828884163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510829240956
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510832340022
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1510832342337
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1510832343080
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1510832343271
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1510832362017
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1510832362140
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1510832362140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510832367848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510832394882
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1510832416457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510832422206
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510832429341
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1510832440256
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1510832440442
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1510832440465
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1510832441795
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1510832441869
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1510832441914
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1510832444993
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1510832445019
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1510832446424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510832644885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510832648894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510832649892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510832652489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510832653737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510832655185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510832657065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510832660116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510832661735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510837709121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510837721704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510837724918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510837725182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510837729103
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510837731121
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1510837734664
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1510837734673
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1510837734673
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1510837734673
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1510837734673
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1510837734674
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1510837734675
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1510837734675
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1510837734675
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1510837734675
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1510837734701
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1510837734701
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1510837734704
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1510837734712
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1510837734712
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1510837734733
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.traditional",1510837734733
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1510837734733
stopped,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1510837734756
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1510837734765
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1510837734765
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1510837734765
stopped,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1510837734769
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1510837734769
stopped,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1510837734769
stopped,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1510837734998
stopped,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1510837734998
stopped,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1510837734998
